type(String),continent(String),iso_country(String),iso_region(String),municipality(String),gps_code(String),local_code(String),coordinates(String),ident(String),name(String),elevation_ft(Integer)
small_airport,NA,MX,MX-JAL,Zapotiltic,MMTX,ZPC,"19.5996, -103.371",MMTX,Zapotiltic - Tuxpan Airport,3900
small_airport,OC,PG,PG-ESW,Mal Island,AYMM,MAL,"-1.394444, 144.171111",MMV,Mal Airport,6
small_airport,NA,US,US-MN,Hackensack,MN00,MN00,"46.95980072, -94.42469788",MN00,Webb Lake Airport,1359
small_airport,NA,US,US-MN,Ada,MN01,MN01,"47.28329849243164, -96.61699676513672",MN01,Hammars Farm Airport,886
seaplane_base,NA,US,US-MN,Excelsior,MN02,MN02,"44.880501, -93.6091",MN02,Lake Minnewashta Seaplane Base,944
small_airport,NA,US,US-MN,Alexandria,MN04,MN04,"45.77360153198242, -95.26280212402344",MN04,Aggies Landing Airport,1387
seaplane_base,NA,US,US-MN,Bemidji,MN05,MN05,"47.597198486328125, -94.8469009399414",MN05,Jordan Seaplane Base,1344
small_airport,NA,US,US-MN,Angus,MN06,MN06,"48.04999923706055, -96.78369903564453",MN06,Pulkrabek Private Landing Field,850
heliport,NA,US,US-MN,Anoka,MN07,MN07,"45.18360137939453, -93.37020111083984",MN07,Health One Mercy Hospital Heliport,867
small_airport,NA,US,US-MN,Eagle Lake,MN08,MN08,"44.12649917602539, -93.8718032836914",MN08,Eagles Nest Aerodrome,1000
seaplane_base,NA,US,US-MN,Apple Valley,MN09,MN09,"44.722198486328125, -93.26689910888672",MN09,Crystal Lake Seaplane Base,935
heliport,NA,US,US-MN,Minneapolis,MN10,MN10,"44.9547004699707, -93.26129913330078",MN10,Abbott Northwestern Hospital Heliport,1010
small_airport,NA,US,US-MN,Benson,MN11,MN11,"45.29999923706055, -95.54499816894531",MN11,Lorenz Airport,1050
small_airport,NA,US,US-MN,Laporte,MN12,MN12,"47.19889831542969, -94.752197265625",MN12,Robco Airport,1380
small_airport,NA,US,US-MN,Bemidji,MN13,MN13,"47.49610137939453, -94.95279693603516",MN13,Moberg Air Base,1373
heliport,NA,US,US-MN,Blue Earth,MN14,MN14,"43.63370132446289, -94.10009765625",MN14,United Hospital District Heliport,1089
small_airport,NA,US,US-MN,Bongards,MN15,MN15,"44.79499816894531, -93.85389709472656",MN15,Empire Farm Strip,1000
heliport,NA,US,US-MN,Virginia,MN16,MN16,"47.531389, -92.548056",MN16,Virginia Regional Hospital Heliport,1550
